66	comparatively	[k?m?p?r?t?vli]	в сравнении
67	human	[?hju?m?n]	человек, человеческий
68	inhuman	[?n?hju?m?n]	бесчеловечный
69	humanity	[hju(?)?m?n?ti]	человечество
70	slay (slew, slain)	[sle?]	умертвить
71	persist	[p??s?st]	сохраниться
72	persistent	[p??s?st?nt]	стойкий, устойчивый
73	persistence	[p??s?st?ns]	упорство
74	wide	[wa?d]	широкий, просторный
75	widen	[?wa?dn]	расширять
76	width	[w?d?]	ширина
77	quarter	[?kw??t?]	четверть
78	vanish	[?v?n??]	исчезнуть
79	stir	[st??]	шевелить(ся), двигать и т.д.
80	opening	[???pn??]	отверстие
81	library	[?la?br?ri]	библиотека
82	librarian	[la??bre?r??n]	библиотекарь
83	link	[l??k]	связь, звено, ссылка
84	linkage	[?l??k??]	связывание
85	expose	[?ks?p??z]	выставлять, обнажать
86	exposition	[??ksp???z???n]	выставка, выставление
87	dig up	[d?g?p]	откопать
88	narrate	[n??re?t]	повествовать, рассказывать
89	narrative	[?n?r?t?v]	рассказ, повествовательный
90	narration	[n??re???n]	пересказ
91	enable	[??ne?bl]	давать возможность
92	laugh	[l??f]	смеяться
93	example	[?g?z??mpl]	пример
94	for example	[f??r?g?z??mpl]	например
95	stake	[ste?k]	стойка, кол, столб
96	decent	[?di?snt]	приличный, достойный
97	indecent	[?n?di?snt]	неприличный
98	decency	[?di?snsi]	порядочность
99	indecency	[?n?di?snsi]	непристойность
100	owe	[??]	быть обязанным чем-л.
101	owing	[?????]	обязанный, должный
102	glove	[gl?v]	перчатка
103	cure	[kj??]	лечить
104	curable	[?kj??r?bl]	излечимый
105	incurable	[?n?kj??r?bl]	неизлечимый
106	curative	[?kj??r?t?v]	лечебный
107	avoid	[??v??d]	избегать
108	avoidance	[??v??d?ns]	уклонение
109	think over	[???k???v?]	обдумать
110	think through	[???k?ru?]	взвесить
111	emerge	[??m???]	появляться
112	emergent	[??m????nt]	возникающий
113	emergence	[??m????ns]	появление
114	take	[te?k]	воспринимать
115	fisherman	[?f???m?n]	рыбак
116	fishery	[?f???ri]	рыболовство
117	conscious	[?k?n??s]	сознательный, сознающий
118	unconscious	[?n?k?n??s]	без сознания
119	consciousness	[?k?n??sn?s]	сознание
120	subconscious	[?s?b?k?n??s]	подсознательный
121	subconsciousness	[?s?b?k?n??sn?s]	подсознание
122	detect	[d??t?kt]	обнаружить, выявить
123	anywhere	[??n?we?]	где угодно, куда угодно
124	anyhow	[??n?ha?]	как угодно
125	dare	[de?]	осмелиться
126	anger	[???g?]	гнев
127	stuff	[st?f]	вещи, всякая фигня
128	fortunate	[?f???n?t]	удачный
129	fortunately	[?f???n?tli]	к счастью
130	unfortunately	[?n?f???n?tli]	к сожалению
131	unfortunate	[?n?f???n?t]	несчастный
132	wilderness	[?w?ld?n?s]	глушь, дикая местность
133	shut out	[??ta?t]	не впускать
134	shut in	[??t?n]	не выпускать
135	noise	[n??z]	шум
136	noisy	[?n??zi]	шумный
137	noiseless	[?n??zl?s]	бесшумный
138	fat	[f?t]	жир, жирный
139	fatness	[?f?tn?s]	упитанность
140	fatten	[?f?tn]	откармливать
141	fail	[fe?l]	потерпеть неудачу
142	steady	[?st?di]	устойчивый
143	steadiness	[?st?d?n?s]	устойчивость
144	unsteady	[?n?st?di]	неустойчивый
145	loss	[l?s]	потеря
146	path	[p???]	путь
147	pathway	[?p???we?]	путь
148	upside down	[??psa?dda?n]	вверх ногами
149	cozy	[?k??zi]	уютный
150	depict	[d??p?kt]	изображать, описывать
151	depiction	[d??p?k?(?)n]	описание
152	room	[ru?m]	место, пространство
153	roomy	[?ru?mi]	вместительный
154	lens	[l?nz]	линза, объектив
155	tail	[te?l]	хвост
156	tails	[te?lz]	обрезки, отходы
157	tailed	[te?ld]	хвостатый
158	can	[k?n]	жестяная банка
159	canned	[k?nd]	консервированный
160	flour	[?fla??]	мука
161	magazine	[?m?g??zi?n]	журнал
162	tense	[t?ns]	напряжённый, напрягать
163	tension	[?t?n??n]	напряженность
164	way	[we?]	способ
165	split (split, split)	[spl?t]	расколоться, распасться
166	ring (rang, rung)	[r??]	звонить, звонок
167	thumb	[??m]	большой палец
168	boundary	[?ba?nd?ri]	граница, черта
169	wage	[we??]	заработок, оплата
170	point	[p??nt]	смысл, суть
171	pointless	[?p?ntl?s]	бессмысленный
172	favor (favour)	[?fe?v?]	благоприятствовать
173	favourite	[?fe?v?r?t]	любимый
174	favorable	[?fe?v?r?bl]	благоприятный
175	unfavorable	[?n?fe?v?r?bl]	неблагоприятный
176	chef	[??f]	шеф-повар
177	considerable	[k?n?s?d?r?bl]	крупный, значительный
178	inconsiderable	[??nk?n?s?d?r?bl]	незначительный
179	multiple	[?m?lt?pl]	множественный, неединичный
180	lessen	[?l?sn]	уменьшать(ся)
181	landmark	[?l?ndm??k]	ориентир
182	solid	[?s?l?d]	сплошной
183	herb	[h??b]	трава
184	herbal	[?h??b?l]	травяной
185	topic	[?t?p?k]	тема, предмет обсуждения
186	topical	[?t?p?k?l]	актуальный, тематический
187	hurt (hurt, hurt)	[h??t]	причинять боль или болеть
188	affiliate	[??f?l?e?t]	филиал, отделение, мл. партнёр
189	affiliated	[??f?l?e?t?d]	аффилированный
190	affiliation	[??f?l??e??(?)n]	присоединение
191	anxiety	[???za??ti]	беспокойство, тревога
192	wave	[we?v]	волна
193	long ago	[l????g??]	давно
194	space	[spe?s]	пространство
195	spacious	[?spe???s]	просторный
196	spatial	[?spe???l]	пространственный
197	cord	[k??d]	верёвка, шнур
198	vision	[?v???n]	зрение или видение
199	visionary	[?v??n?ri]	провидец, мечтатель
200	dozen	[?d?zn]	дюжина
201	several	[?s?vr?l]	несколько
202	terms	[t??mz]	отношения
203	generous	[???n?r?s]	великодушный, щедрый
204	generosity	[???n??r?s?ti]	щедрость
205	bay	[be?]	залив
206	duty	[?dju?ti]	обязанность, служба
207	dutiful	[?dju?t?f?l]	ответственный, обязательный
208	database	[?de?t??be?s]	база данных
209	prompt	[pr?mpt]	побуждать, подстрекать
210	prompting	[pr?mpt??]	побуждение, подсказка
211	observe	[?b?z??v]	наблюдать
212	observation	[??bz?(?)?ve???n]	наблюдение
213	observer	[?b?z??v?]	наблюдатель
214	spill	[sp?l]	проливать, рассыпать
215	brief	[bri?f]	краткий
216	neck	[n?k]	шея
217	society	[s??sa??ti]	общество
218	societal	[s??sa??tl]	общественный
219	weak	[wi?k]	слабый
220	weakness	[?wi?kn?s]	слабость
221	weaken	[?wi?k?n]	ослабевать
222	result in	[r??z?lt?n]	привести к
223	result	[r??z?lt]	результат
224	day off	[de??f]	выходной
225	customs	[?k?st?mz]	таможня
226	greet	[gri?t]	приветствовать
227	greeting	[?gri?t??]	приветствие
228	edge	[??]	край
229	edged	[??d]	окруженный, окантованный
230	edgy	[???i]	острый или раздражительный
231	preserve	[pr??z??v]	сохранять, беречь
232	preservation	[?pr?z?(?)?ve???n]	сохранение
233	handsome	[?h?ns?m]	красивый (обычно о мужчинах)
234	lack	[l?k]	недостаток, нуждаться
235	skin	[sk?n]	кожа
236	encourage	[?n?k?r??]	поддерживать, поощрять
237	encouragement	[?n?k?r??m?nt]	поощрение
238	discourage	[d?s?k?r??]	отговорить, демотивировать
239	discouragement	[d?s?k?r??m?nt]	упадок духа, обескураженность
240	harass	[?h?r?s]	тревожить, изводить
241	harassment	[?h?r?sm?nt]	домогательство
242	task	[t??sk]	задание, задача
243	aid	[e?d]	помощь, помогать
244	aiding	[?e?d??]	вспомогательный
245	boil	[b??l]	кипеть, кипятить, варить
246	boiler	[?b??l?]	котел
247	adventure	[?d?v?n??]	приключение
248	adventurer	[?d?v?n??r?]	авантюрист
249	adventurous	[?d?v?n??r?s]	авантюрный
250	weave (wove, woven)	[wi?v]	плести, ткать
251	flavor	[?fle?v?]	вкус, приправлять
252	remove	[r??mu?v]	убрать, удалить
253	removal	[r??mu?v?l]	удаление
254	shadow	[???d??]	тень
255	shadowy	[???d??i]	тёмный, смутный
256	suburb	[?s?b??b]	пригород
257	suburban	[s??b??b?n]	пригородный
258	complex	[?k?mpl?ks]	сложный
259	complexity	[k?m?pl?ks?ti]	сложность
260	birth	[b???]	рождение
261	birthday	[?b???de?]	день рождения
262	exploit	[??kspl??t]	использовать, эксплуатировать
263	exploitation	[??kspl???te???n]	использование, эксплуатация
264	exploiter	[?ks?pl??t?]	эксплуататор
265	contain	[k?n?te?n]	содержать
266	containment	[k?n?te?nm?nt]	сдерживание
267	bargain	[?b??g?n]	сделка, торговаться
268	tool	[tu?l]	инструмент
269	agenda	[????nd?]	повестка дня
270	ancestor	[??ns?st?]	предок
271	ancestral	[?n?s?str?l]	наследственный, родовой
272	missile	[?m?sa?l]	ракета
273	elaborate	[??l?b?r?t]	разработать, проработанный
274	elaboration	[??l?b??re???n]	разработка
275	pool	[pu?l]	бассейн
276	substitute	[?s?bst?tju?t]	заменять, замена
277	substitution	[?s?bst??tju???n]	замена
278	lone	[l??n]	одинокий
279	lonely	[?l??nli]	одинокий
280	loneliness	[?l??nl?n?s]	одиночество
281	lonesome	[?l??ns?m]	унылый
282	amaze	[??me?z]	поражать, изумлять
283	amazement	[??me?zm?nt]	изумление
284	blonde	[bl?nd]	блондинка
285	blond	[bl?nd]	блондин
286	fascinate	[?f?s?ne?t]	очаровывать
287	fascination	[?f?s??ne???n]	очарование
288	fascinating	[?f?s?ne?t??]	очаровательный
289	violent	[?va??l?nt]	яростный, жестокий
290	violence	[?va??l?ns]	насилие
291	relief	[r??li?f]	облегчение
292	exclude	[?ks?klu?d]	исключать
293	exclusion	[?ks?klu???n]	исключение
294	exclusive	[?ks?klu?s?v]	исключительный
295	visible	[?v?z?bl]	видимый
296	invisible	[?n?v?z?bl]	невидимый
297	visibility	[?v?z??b?l?ti]	видимость
298	invisibility	[?n?v?z??b?l?ti]	невидимость
299	roll	[r??l]	рулон, клубок, свиток и т. д.
300	carry out	[?k?ria?t]	выполнить
301	rape	[re?p]	насиловать, изнасилование
302	rapist	[?re?p?st]	насильник
303	manual	[?m?nj??l]	руководство, учебник
304	honor (honour)	[??n?]	честь, чтить
305	honorary	[??n?r?ri]	почётный
306	honorable	[??n?r?bl]	почётный
307	miss	[m?s]	скучать
308	oil	[??l]	масло
309	oily	[???li]	маслянистый
310	field	[fi?ld]	поле, область
311	render	[?r?nd?]	делать, придавать свойство
312	accelerate	[?k?s?l?re?t]	ускорять
313	acceleration	[?k?s?l??re??(?)n]	ускорение
314	poke	[p??k]	совать, тыкать
315	steel	[sti?l]	сталь, стальной
316	bring (brought, brought)	[br??]	принести
317	unit	[?ju?n?t]	единица, элемент
318	penalty	[?p?nlti]	наказание
319	matter	[?m?t?]	вещество, материя
320	conclude	[k?n?klu?d]	заключать, завершать
321	conclusion	[k?n?klu???n]	вывод
322	conclusive	[k?n?klu?s?v]	заключительный, решающий
323	put smth down to	[p?tsmthda?ntu?]	объяснить, списать на
324	overnight	[???v??na?t]	ночной, с ночёвкой
325	poverty	[?p?v?ti]	бедность, нищета
326	impoverish	[?m?p?v?r??]	обеднять
327	declare	[d??kle?]	объявлять
328	declaration	[?d?kl??re???n]	объявление
329	period	[?p??r??d]	точка (в предложении)
330	race	[re?s]	раса
331	racial	[?re???l]	расовый
332	lead	[li?d]	вести
333	condition	[k?n?d???n]	условие
334	conditional	[k?n?d???nl]	условный
335	unconditional	[??nk?n?d???nl]	безусловный
336	bar	[b??]	пластина, брусок, прут и т. д.
337	bars	[b??z]	решётка (напр. в тюрьме)
338	squeeze	[skwi?z]	сжимать
339	cite	[sa?t]	упоминать, цитировать
340	citation	[sa??te???n]	цитата
341	annual	[??nj??l]	ежегодный
342	bow	[ba?]	бант, бабочка
343	punish	[?p?n??]	наказывать
344	punishable	[?p?n???bl]	наказуемый
345	punishment	[?p?n??m?nt]	наказание
346	unpunished	[?n?p?n??t]	безнаказанный
347	punitive	[?pju?n?t?v]	карательный
348	purple	[?p??pl]	пурпурный, фиолетовый
349	handful	[?h?ndf?l]	горсть
350	armful	[???mf?l]	охапка
351	mouthful	[?ma??f?l]	полный рот
352	witness	[?w?tn?s]	свидетель
353	grade	[gre?d]	оценка
354	pipe	[pa?p]	трубка
355	restrain	[r?s?tre?n]	ограничивать, удерживать
356	restraint	[r?s?tre?nt]	сдержанность
357	unrestrained	[??nr?s?tre?nd]	несдержанный
358	constrain	[k?n?stre?n]	ограничивать (препятствием)
359	constraint	[k?n?stre?nt]	ограничение
360	unconstrained	[??nk?n?stre?nd]	непринужденный
361	suspect	[?s?sp?kt]	подозревать, подозреваемый
362	converse	[k?n?v??s]	разговаривать
363	conversation	[?k?nv??se???n]	разговор
364	liquid	[?l?kw?d]	жидкость, жидкий
365	liquidity	[l??kw?d?ti]	текучесть, ликвидность
366	resemble	[r??z?mbl]	походить
367	resemblance	[r??z?mbl?ns]	сходство
368	decide	[d??sa?d]	решить
369	decision	[d??s???n]	решение
370	indecision	[??nd??s???n]	нерешительность
371	bold	[b??ld]	смелый, дерзкий, безрассудный
372	boldness	[?b??ldn?s]	смелость, дерзость
373	case	[ke?s]	случай, дело
374	case	[ke?s]	дело (уголовное)
375	determine	[d??t??m?n]	определить
376	determination	[d??t??m??ne???n]	определение
377	determined	[d??t??m?nd]	решённый, решительный
378	undetermined	[??nd??t??m?nd]	неопределённый
379	determinate	[d??t??m?n?t]	определённый, решённый
380	waste	[we?st]	отходы, обрезки, потери и т.п.
381	wastewater	[?we?st?w??t?]	сточные воды
382	regard	[r??g??d]	внимание, уважение
383	difficulty	[?d?f?k?lti]	трудность
384	ticket	[?t?k?t]	билет, талон
385	bet	[b?t]	ставка, пари, держать пари
386	settle	[?s?tl]	уладить
387	unsettle	[?n?s?tl]	расстраивать
388	bow	[ba?]	лук
389	flow	[fl??]	поток, течь
390	approve	[??pru?v]	утвердить, одобрить (офиц.)
391	approval	[??pru?v?l]	утверждение
392	disapprove	[?d?s??pru?v]	не одобрять
393	approve of	[??pru?v?v]	одобрять (субъективно)
394	at first	[?tf??st]	сначала
395	occasion	[??ke???n]	случай, событие
396	occasional	[??ke???nl]	случайный
397	describe	[d?s?kra?b]	описать
398	descriptive	[d?s?kr?pt?v]	описательный
399	description	[d?s?kr?p??n]	описание
400	rope	[r??p]	верёвка
401	feature	[?fi???]	черта, особенность
402	featured	[?fi???d]	напоминающий, похожий
403	by far	[ba?f??]	безусловно
404	drum	[dr?m]	барабан, барабанить
405	drummer	[?dr?m?]	барабанщик
406	emit	[??m?t]	испускать, издавать
407	emission	[??m???n]	излучение
408	indeed	[?n?di?d]	в самом деле
409	table	[?te?bl]	таблица
410	hostile	[?h?sta?l]	враждебный, неприязненный
411	hostility	[h?s?t?l?ti]	враждебность
412	option	[??p??n]	выбор, вариант
413	optional	[??p??nl]	необязательный
414	significant	[s?g?n?f?k?nt]	значительный
415	significance	[s?g?n?f?k?ns]	значение
416	insignificant	[??ns?g?n?f?k?nt]	незначительный
417	make fun of	[me?kf?n?f]	смеяться, издеваться
418	chop	[??p]	рубить
419	general	[???n?r?l]	общий
420	generalise	[???n?r?la?z]	обобщать
421	generalisation	[???n?r?la??ze???n]	обобщение
422	awake	[??we?k]	проснуться, бодрствующий
423	mere	[m??]	всего лишь
424	perform	[p??f??m]	выполнить, исполнить
425	performance	[p??f??m?ns]	представление
426	lawn	[l??n]	газон
427	lawn-mower	[?l??n?m???]	газонокосилка
428	gentle	[???ntl]	мягкий, тихий, нежный и т. д.
429	beyond	[b??j?nd]	вне, свыше
430	hide (hid, hidden)	[ha?d]	скрывать
431	hide away	[ha?d??we?]	спрятать(ся)
432	hide out	[ha?d a?t]	скрываться
433	postpone	[p??st?p??n]	отложить, задержать
434	postponement	[p??st?p??nm?nt]	отсрочка, откладывание
435	highlight	[?ha??la?t]	выделить, подсветить
436	straight	[stre?t]	прямой, прямо
437	straighten	[?stre?tn]	выпрямлять
438	deal	[di?l]	сделка
439	dealer	[?di?l?]	торговец
440	dealership	[?di?l???p]	торговое агенство
441	delay	[d??le?]	задерживать(ся)
442	nerd	[n??d]	ботан, задрот
443	fan	[f?n]	вентилятор
444	debt	[d?t]	долг
445	debtor	[?d?t?]	должник
446	submit	[s?b?m?t]	подавать информацию
447	raise	[re?z]	растить (детей)
448	start up	[st??t?p]	основать, установить
449	below	[b??l??]	ниже, под
450	climb	[kla?m]	взбираться
451	crash	[kr??]	"горохот, крушение, разбивать и т.
д."
452	consist of	[k?n?s?st?v]	состоять (из)
453	touch	[t??]	связь, контакт
454	in touch	[?nt??]	на связи
455	gene	[?i?n]	ген
456	neighbour	[?ne?b?]	сосед
457	neighborhood (hood)	[?ne?b?h?d]	окрестности, район
458	neighbouring	[?ne?b?r??]	близлежащий, соседний
459	tender	[?t?nd?]	нежный
460	tenderness	[?t?nd?n?s]	нежность
461	tell apart	[t?l??p??t]	различать
462	follow	[?f?l??]	следовать, следить
463	following	[?f?l????]	следующий
464	as follows	[?z?f?l??z]	следующим образом
465	follower	[?f?l???]	последователь
466	grocery	[?gr??s?ri]	продуктовый
467	consult	[k?n?s?lt]	советоваться
468	vague	[ve?g]	смутный
469	vagueness	[?ve?gn?s]	неопределенность
470	jury	[????ri]	жюри или присяжные
471	juror	[????r?]	присяжный
472	announce	[??na?ns]	объявлять
473	announcement	[??na?nsm?nt]	объявление
474	bring back	[br??b?k]	вернуть
475	give back	[g?vb?k]	отдать
476	take back	[te?kb?k]	забрать
477	stick	[st?k]	палка, тыкать палкой
478	as though	[?z???]	как будто
479	court	[k??t]	суд
480	courtroom	[?k??tr?m]	зал суда
481	courthouse	[?k??t?ha?s]	здание суда
482	tear (tore, torn)	[te?]	рвать
483	tear apart	[te?r??p??t]	раздирать
484	watch	[w??]	часы (наручные)
485	seek (sought, sought)	[si?k]	искать, стремиться
486	naked	[?ne?k?d]	голый
487	nakedness	[?ne?k?dn?s]	нагота
488	strain	[stre?n]	напрягать, напряжение
489	wear (wore, worn)	[we?]	надевать, носить
490	blast	[bl??st]	дуновение, порыв
491	grain	[gre?n]	зерно, крупица
492	drop out of	[dr?pa?t?v]	бросить (учёбу)
493	dropout	[?dr?pa?t]	бросивший учёбу студент
494	fireplace	[?fa???ple?s]	камин
495	quantity	[?kw?nt?ti]	количество
496	quantitative	[?kw?nt?t?t?v]	количественный
497	crawl	[kr??l]	ползать
498	bag	[b?g]	сумка, мешок
499	handbag	[?h?ndb?g]	сумка
500	baggy	[?b?gi]	мешковатый
501	grave	[gre?v]	могила
502	graveyard	[?gre?vj??d]	кладбище (у церкви)
503	make up	[me?k?p]	выдумать
504	think up	[???k?p]	придумать
505	dream up	[dri?m?p]	выдумывать
506	practice	[?pr?kt?s]	практика, практиковать
507	entitle	[?n?ta?tl]	давать название
508	pile	[pa?l]	куча, стопка
509	stockpile	[?st?kpa?l]	запас
510	surface	[?s??f?s]	поверхность
511	duckling	[?d?kl??]	утёнок
512	conduct	[?k?nd?kt]	вести
513	conductor	[k?n?d?kt?]	проводник
514	misconduct	[m?s?k?nd?kt]	проступок
515	lawsuit	[?l??sju?t]	тяжба, судебное дело
516	seize	[si?z]	схватить
517	seizure	[?si???]	захват
518	innocent	[??n?s?nt]	невинный, невиновный
519	innocence	[??n?s?ns]	невинность
520	curious	[?kj??r??s]	любопытный
521	curiosity	[?kj??r???s?ti]	любопытство
522	well	[w?l]	колодец
523	environment	[?n?va??r?nm?nt]	среда, окружение
524	environmental	[?n?va??r?n?m?ntl]	экологическая
525	clear	[kl??]	ясный, чистый
526	clearer	[?kl??r?]	очиститель
527	unclear	[?n?kl??]	неясный
528	clearance	[?kl??r?ns]	зазор
529	envelope	[??nv?l??p]	конверт
530	fill in	[f?l?n]	заполнить
531	fill out	[f?la?t]	заполнять
532	see off	[si??f]	провожать (в путь)
533	see out	[si?a?t]	проводить (до выхода)
534	credible	[?kr?d?bl]	заслуживающий доверия
535	credibility	[?kr?d??b?l?ti]	правдоподобие
536	respond	[r?s?p?nd]	отвечать
537	respondent	[r?s?p?nd?nt]	тот, кто отвечает
538	gain	[ge?n]	получать, выигрывать
539	anymore	[??ni?m??]	больше (не)
540	urgent	[?????nt]	срочный
541	urgency	[?????nsi]	острая необходимость
542	honey	[?h?ni]	мёд
543	match	[m??]	соответствие
544	mismatch	[?m?s?m??]	несоответствие
545	equip	[??kw?p]	оснащать, снаряжать
546	equipment	[??kw?pm?nt]	оборудование
547	bump	[b?mp]	шишка, выпуклость
548	island	[?a?l?nd]	остров
549	hand over	[h?nd???v?]	передать
550	proper	[?pr?p?]	правильный, надлежащий
551	properly	[?pr?p?li]	должным образом
552	improper	[?m?pr?p?]	неподходящий
553	enhance	[?n?h??ns]	повысить, усилить, расширить
554	enhancement	[?n?h??nsm?nt]	усиление
555	nuclear	[?nju?kl??]	ядерный
556	tournament	[?t??n?m?nt]	турнир
557	stem	[st?m]	стебель
558	inner	[??n?]	внутренний
559	outer	[?a?t?]	внешний
560	inspire	[?n?spa??]	вдохновить, внушить
561	inspiration	[??nsp??re???n]	вдохновение
562	inspirational	[??nsp??re???n(?)l]	вдохновляющий
563	spare	[spe?]	щадить, избавить
564	capable	[?ke?p?bl]	способный к ч-л.
565	incapable	[?n?ke?p?bl]	неспособный
566	capability	[?ke?p??b?l?ti]	возможность
567	dry up	[dra??p]	пересохнуть, иссякнуть
568	brick	[br?k]	кирпич
569	bricklayer	[?br?k?le??]	каменщик
570	brickwork	[?br?kw??k]	кирпичная кладка
571	move	[mu?v]	переезжать
572	garlic	[?g??l?k]	чеснок
573	Christmas	[?kr?sm?s]	Рождество
574	trial	[?tra??l]	испытание, пробный
575	nightmare	[?na?tme?]	кошмар
576	plant	[pl??nt]	растение, сажать
577	planting	[?pl??nt??-посадка]	посадка
578	plantation	[pl?n?te???n]	насаждения, плантация
579	resolute	[?r?z?lu?t]	решительный, твёрдый
580	resolution	[?r?z??lu???n]	решение, решимость
581	victim	[?v?kt?m]	жертва
582	victimize	[?v?kt?ma?z]	делать жертвой
583	appeal	[??pi?l]	обращаться, взывать
584	appealing	[??pi?l??]	привлекательный, трогательный
585	barely	[?be?li]	едва, еле-еле
586	issue	[???u?]	издать, выпустить, выпуск
587	per	[p??]	(кол-во) на (единицу)
588	alter	[???lt?]	изменять
589	alteration	[???lt??re??(?)n]	внесение изменений
590	alterable	[???lt?r?bl]	изменяемый
591	unaltered	[?n???lt?d]	неизменный
592	unalterable	[?n???lt?r?bl]	непреложный
593	pound	[pa?nd]	фунт
594	seat	[si?t]	место, сиденье
595	candy	[?k?ndi]	конфеты
596	meanwhile	[?mi?n?wa?l]	тем временем
597	railway	[?re?lwe?]	железная дорога
598	railroad	[?re?lr??d]	железная дорога
599	closet	[?kl?z?t]	стенной шкаф
600	violate	[?va??le?t]	нарушать
601	violation	[?va???le???n]	нарушение
602	violator	[?va??le?t?]	нарушитель, преступник
603	front	[fr?nt]	перед, передний
604	in front of	[?nfr?nt?v]	перед
605	frontal	[?fr?ntl]	передний, лобовой
606	take care	[te?kke?]	позаботиться, заняться
607	caretaker	[?ke??te?k?]	смотритель
608	authorities	[?????r?tiz]	органы власти
609	matter	[?m?t?]	дело, вопрос
610	thank	[???k]	благодарить
611	thankful	[????kf?l]	благодарный
612	thankless	[????kl?s]	неблагодарный
613	get through	[g?t?ru?]	дозвониться
614	cup	[k?p]	чашка, кружка, кубок
615	take off	[te?k?f]	снять
616	devote	[d??v??t]	посвятить, уделить
617	devotion	[d??v????n]	преданность
618	assume	[??sju?m]	принимать на себя
619	assumption	[??s?mp?(?)n]	принятие
620	array	[??re?]	ряд, порядок, строй
621	shelter	[???lt?]	укрытие, убежище
622	contrary	[?k?ntr?ri]	противоположный, вопреки
623	diminish	[d??m?n??]	уменьшаться
624	diminution	[?d?m??nju???n]	снижение, сокращение
625	offer	[??f?]	предлагать, предложение
626	set out	[s?ta?t]	разъяснять
627	complain	[k?m?ple?n]	жаловаться
628	complaint	[k?m?ple?nt]	жалоба
629	favor (favour)	[?fe?v?]	услуга
630	commitment	[k??m?tm?nt]	приверженность
631	intervene	[??nt?(?)?vi?n]	вмешиваться
632	intervention	[??nt?(?)?v?n??n]	вмешательство
633	error	[??r?]	ошибка
634	erroneous		ошибочный
635	hike	[ha?k]	поход, ходить в поход
636	hitchhike	[?h???ha?k]	автостоп
637	blink	[bl??k]	мерцать, мигать
638	strip	[str?p]	полоса, лента
639	curl	[k??l]	скручивать, клубиться, завиток
640	curly	[?k??li]	кудрявый
641	concrete	[?k?nkri?t]	бетон, бетонировать
642	fold	[f??ld]	сворачивать, складывать
643	science	[?sa??ns]	наука
644	scientific	[?sa??n?t?f?k]	научный
645	scientist	[?sa??nt?st]	ученый
646	contest	[?k?nt?st]	соревнование, конкурс
647	contestant	[k?n?t?st?nt]	участник, конкурсант
648	bond	[b?nd]	связь, узы, соединение
649	retreat	[r??tri?t]	отступать
650	suspend	[s?s?p?nd]	приостановить, подвесить
651	suspension	[s?s?p?n??n]	приостановление
